Data,pm25,pm10,o3,no2,so2,co
2016-01-06,68.0,82.0,27.0,31.0,2.0,5.0
2016-01-07,68.0,80.0,27.0,31.0,2.0,5.0
2016-01-08,68.0,61.0,27.0,31.0,2.0,5.0
2016-01-09,68.0,71.0,27.0,31.0,2.0,5.0
2016-01-10,68.0,62.0,27.0,31.0,2.0,5.0
2016-01-11,68.0,67.0,27.0,31.0,2.0,5.0
2016-01-12,68.0,19.0,27.0,31.0,2.0,5.0
2016-01-13,68.0,17.0,27.0,31.0,2.0,5.0
2016-01-14,68.0,37.0,27.0,31.0,2.0,5.0
2016-01-15,68.0,51.0,27.0,31.0,2.0,5.0
2016-01-16,68.0,39.0,27.0,31.0,2.0,5.0
2016-01-17,68.0,46.0,27.0,31.0,2.0,5.0
2016-01-18,68.0,61.0,27.0,31.0,2.0,5.0
2016-01-19,68.0,73.0,27.0,31.0,2.0,5.0
2016-01-20,68.0,74.0,27.0,31.0,2.0,5.0
2016-01-21,68.0,45.0,27.0,31.0,2.0,5.0
2016-01-22,68.0,73.0,27.0,31.0,2.0,5.0
2016-01-23,68.0,145.0,27.0,31.0,2.0,5.0
2016-01-24,68.0,62.0,27.0,31.0,2.0,5.0
2016-01-25,68.0,49.0,27.0,31.0,2.0,5.0
2016-01-26,68.0,44.0,27.0,31.0,2.0,5.0
2016-01-27,68.0,39.0,27.0,31.0,2.0,5.0
2016-01-28,68.0,22.0,27.0,31.0,2.0,5.0
2016-01-29,68.0,55.0,27.0,31.0,2.0,5.0
2016-01-30,68.0,19.0,27.0,31.0,2.0,5.0
2016-01-31,68.0,14.0,27.0,31.0,2.0,5.0
2016-02-01,68.0,28.0,27.0,31.0,2.0,5.0
2016-02-02,68.0,12.0,27.0,31.0,2.0,5.0
2016-02-03,68.0,23.0,27.0,31.0,2.0,5.0
2016-02-04,68.0,23.0,27.0,31.0,2.0,5.0
2016-02-05,68.0,34.0,27.0,31.0,2.0,5.0
2016-02-06,68.0,60.0,27.0,31.0,2.0,5.0
2016-02-07,68.0,30.0,27.0,31.0,2.0,5.0
2016-02-08,68.0,22.0,27.0,31.0,2.0,5.0
2016-02-09,68.0,9.0,27.0,31.0,2.0,5.0
2016-02-10,68.0,14.0,27.0,31.0,2.0,5.0
2016-02-11,68.0,17.0,27.0,31.0,2.0,5.0
2016-02-12,68.0,33.0,27.0,31.0,2.0,5.0
2016-02-13,68.0,40.0,27.0,31.0,2.0,5.0
2016-02-14,68.0,44.0,27.0,31.0,2.0,5.0
2016-02-15,68.0,33.0,27.0,31.0,2.0,5.0
2016-02-16,68.0,27.0,27.0,31.0,2.0,5.0
2016-02-17,68.0,28.0,27.0,31.0,2.0,5.0
2016-02-18,68.0,44.0,27.0,31.0,2.0,5.0
2016-02-19,68.0,34.0,27.0,31.0,2.0,5.0
2016-02-20,68.0,34.0,27.0,31.0,2.0,5.0
2016-02-21,68.0,14.0,27.0,31.0,2.0,5.0
2016-02-22,68.0,12.0,27.0,31.0,2.0,5.0
2016-02-23,68.0,32.0,27.0,31.0,2.0,5.0
2016-02-24,68.0,32.0,27.0,31.0,2.0,5.0
2016-02-25,68.0,53.0,27.0,31.0,2.0,5.0
2016-02-26,68.0,51.0,27.0,31.0,2.0,5.0
2016-02-27,68.0,58.0,27.0,31.0,2.0,5.0
2016-02-28,68.0,44.0,27.0,31.0,2.0,5.0
2016-02-29,68.0,33.0,27.0,31.0,2.0,5.0
2016-03-01,68.0,19.0,27.0,31.0,2.0,5.0
2016-03-02,68.0,38.0,27.0,31.0,2.0,5.0
2016-03-03,68.0,34.0,27.0,31.0,2.0,5.0
2016-03-04,68.0,49.0,27.0,31.0,2.0,5.0
2016-03-05,68.0,47.0,27.0,31.0,2.0,5.0
2016-03-06,68.0,27.0,27.0,31.0,2.0,5.0
2016-03-07,68.0,43.0,27.0,31.0,2.0,5.0
2016-03-08,68.0,32.0,27.0,31.0,2.0,5.0
2016-03-09,68.0,45.0,27.0,31.0,2.0,5.0
2016-03-10,68.0,23.0,27.0,31.0,2.0,5.0
2016-03-11,68.0,27.0,27.0,31.0,2.0,5.0
2016-03-12,68.0,18.0,27.0,31.0,2.0,5.0
2016-03-13,68.0,22.0,27.0,31.0,2.0,5.0
2016-03-14,68.0,29.0,27.0,31.0,2.0,5.0
2016-03-15,68.0,23.0,27.0,31.0,2.0,5.0
2016-03-16,68.0,48.0,27.0,31.0,2.0,5.0
2016-03-17,68.0,116.0,27.0,31.0,2.0,5.0
2016-03-18,68.0,42.0,27.0,31.0,2.0,5.0
2016-03-19,68.0,24.0,27.0,31.0,2.0,5.0
2016-03-20,68.0,46.0,27.0,31.0,2.0,5.0
2016-03-21,68.0,33.0,27.0,31.0,2.0,5.0
2016-03-22,68.0,24.0,27.0,31.0,2.0,5.0
2016-03-23,68.0,44.0,27.0,31.0,2.0,5.0
2016-03-24,68.0,35.0,27.0,31.0,2.0,5.0
2016-03-25,68.0,61.0,27.0,31.0,2.0,5.0
2016-03-26,68.0,46.0,27.0,31.0,2.0,5.0
2016-03-27,68.0,39.0,27.0,31.0,2.0,5.0
2016-03-28,68.0,35.0,27.0,31.0,2.0,5.0
2016-03-29,68.0,30.0,27.0,31.0,2.0,5.0
2016-03-30,68.0,29.0,27.0,31.0,2.0,5.0
2016-03-31,68.0,35.0,27.0,31.0,2.0,5.0
2016-04-01,68.0,25.0,27.0,31.0,2.0,5.0
