Data,Zachmurzenie ogólne [oktanty],Zachmurzenie (max),Zachmurzenie (min),Prędkość wiatru  [m/s],Temperatura powietrza,Temperatura powietrza (max),Temperatura powietrza (min),Wilgotność względna [%],Ciśnienie na pozimie stacji [hPa],Ciśnienie na pozimie morza [hPa],Opad za 6 godzin [mm]
1961-1-1,"8,333333333333334",9,7,"0,3333333333333333","-2,5777777777777775","0,4","-4,6","95,66666666666667","991,3666666666666","1018,3333333333334","0,2"
1961-1-10,"3,125",8,0,"0,625","-1,0125","2,1","-3,4","93,0","988,7624999999999","1015,575","0,0"
1961-1-11,"3,75",8,0,"2,0","-1,2375000000000003","2,8","-4,9","88,0","990,5000000000001","1017,3124999999998","0,0"
1961-1-12,"6,5",8,1,"5,125","-0,4625","1,4","-1,6","78,625","1000,7875","1027,8","0,7"
1961-1-13,"5,25",8,2,"3,375","-1,6500000000000004","-0,5","-2,4","71,875","1006,3375","1033,7875","0,0"
1961-1-14,"8,0",8,8,"3,0","0,875","3,1","-1,0","68,125","1003,5249999999999","1030,45","0,0"
1961-1-15,"7,875",8,7,"2,25","-0,2125","0,7","-2,3","92,875","1006,9625","1034,1875","4,6"
1961-1-16,"8,0",8,8,"3,375","-3,725","-2,2","-5,4","89,875","1001,1375","1028,5125","0,0"
1961-1-17,"4,75",8,0,"5,0","-5,6625","-1,2","-10,2","75,875","1004,4625000000001","1032,125","0,0"
1961-1-18,"0,125",1,0,"2,0","-14,475","-9,2","-17,3","76,875","1014,475","1043,4","0,0"
1961-1-19,"5,5",8,0,"0,75","-11,575","-6,5","-18,6","73,5","1010,6125000000001","1039,1375","0,0"
1961-1-2,"8,125",9,7,"0,375","-2,575","-0,9","-3,9","96,5","988,9875000000001","1015,95","0,8"
1961-1-20,"4,125",8,0,"2,0","-7,675000000000001","-2,7","-11,6","75,0","1003,575","1031,5","0,0"
1961-1-21,"0,25",2,0,"2,75","-10,7125","-6,7","-13,8","81,0","996,8875","1024,9750000000001","0,0"
1961-1-22,"3,25",8,0,"0,625","-10,399999999999999","-4,6","-15,4","81,75","992,0124999999999","1019,8625000000001","0,0"
1961-1-23,"8,0",8,8,"1,875","-5,05","-2,7","-8,4","87,875","987,3","1014,5625","1,7999999999999998"
1961-1-24,"5,5",8,0,"3,125","-12,062500000000002","-9,5","-14,2","82,25","989,075","1017,075","0,3"
1961-1-25,"7,75",8,6,"5,625","-10,1","-8,4","-11,4","81,5","986,4","1014,1375","0,2"
1961-1-26,"4,125",8,0,"5,125","-15,5375","-11,8","-18,2","80,25","998,25","1026,8625","0,2"
1961-1-27,"0,0",0,0,"1,625","-18,037499999999998","-12,7","-21,7","83,125","1006,7874999999998","1036,0124999999998","0,0"
1961-1-28,"1,125",9,0,"0,0","-16,0875","-7,5","-22,7","82,375","1001,65","1030,5375","0,0"
1961-1-29,"4,25",8,0,"1,375","-7,7","1,6","-18,4","83,25","996,7125000000001","1024,55","0,0"
1961-1-3,"6,5",9,2,"2,125","-0,050000000000000155","5,8","-8,3","82,5","978,1750000000001","1004,6124999999998","0,0"
1961-1-30,"5,125",8,0,"4,25","0,17499999999999982","7,3","-8,5","72,75","988,1375","1014,825","0,0"
1961-1-31,"7,875",8,7,"5,25","5,2875","8,3","3,5","83,375","979,6500000000001","1005,6374999999999","2,3000000000000003"
1961-1-4,"6,625",8,6,"3,25","4,6","7,5","3,1","79,625","976,6499999999999","1002,675","0,0"
1961-1-5,"6,75",8,3,"2,0","2,4250000000000003","3,9","1,1","90,0","982,4","1008,6875","11,2"
1961-1-6,"2,875",8,0,"3,0","1,3125","4,5","-2,0","82,125","990,9875","1017,5624999999999","1,4"
1961-1-7,"4,75",8,0,"1,25","-0,6000000000000001","1,1","-2,6","84,375","987,325","1014,0749999999999","0,0"
1961-1-8,"6,25",8,2,"3,0","1,9125","3,7","0,6","80,875","988,2875","1014,8125","1,7"
1961-1-9,"4,125",8,0,"2,75","2,0500000000000003","5,3","-1,9","76,75","987,55","1014,0624999999999","0,0"
1961-10-1,"3,75",7,0,"7,0","10,450000000000001","14,2","7,1","76,875","994,3874999999999","1020,2249999999999","0,0"
1961-10-10,"1,875",9,0,"1,875","10,087499999999999","16,3","4,6","79,875","1004,8375","1030,9875","0,0"
1961-10-11,"3,125",9,0,"2,75","8,6125","15,8","3,9","89,125","1002,0374999999999","1028,275","0,0"
1961-10-12,"3,375",8,0,"2,625","11,7","19,4","2,7","79,75","999,9375","1025,85","0,0"
1961-10-13,"5,625",8,0,"3,0","10,775","12,7","8,7","76,75","1001,275","1027,2875","0,0"
1961-10-14,"7,625",8,7,"3,625","8,8875","12,0","4,9","77,375","1000,5875","1026,8","0,0"
1961-10-15,"8,0",8,8,"5,0","10,850000000000001","12,0","9,9","83,875","998,8375000000001","1024,85","0,2"
1961-10-16,"4,125",8,0,"3,0","11,662500000000001","17,2","5,9","72,875","994,2624999999999","1020,0625","0,0"
1961-10-17,"4,25",7,0,"2,25","9,9125","18,3","3,9","79,5","985,525","1011,2249999999999","0,0"
1961-10-18,"6,875",8,6,"5,25","14,4875","17,5","8,4","62,625","969,7500000000001","994,6375","0,0"
1961-10-19,"6,375",7,5,"5,25","17,75","20,3","14,5","52,25","973,4124999999999","998,1374999999999","0,0"
1961-10-2,"5,5",8,0,"6,25","12,2375","15,3","9,4","78,5","998,8500000000001","1024,75","0,0"
1961-10-20,"4,75",7,3,"3,125","15,487499999999999","19,6","11,0","70,75","981,5625000000001","1006,5875","0,0"
1961-10-21,"4,0",8,1,"3,875","12,325000000000001","16,6","5,1","64,625","987,1750000000001","1012,6374999999999","0,0"
1961-10-22,"4,875",9,0,"3,625","5,7875","9,8","0,0","92,0","996,8375","1023,225","0,0"
1961-10-23,"6,0",8,1,"2,0","8,7125","13,4","4,4","88,25","998,975","1025,1875","0,0"
1961-10-24,"3,875",6,2,"1,5","8,2","17,2","0,5","78,25","999,6249999999999","1025,85","0,0"
1961-10-25,"4,25",8,0,"2,125","8,887500000000001","18,6","-0,6","70,625","995,1499999999999","1021,1750000000001","0,0"
1961-10-26,"6,0",8,1,"1,0","8,1875","13,5","3,5","79,875","992,5374999999999","1018,4749999999999","0,0"
1961-10-27,"5,375",8,0,"2,875","8,575000000000001","16,5","3,5","73,25","988,6625","1014,6","0,0"
1961-10-28,"0,875",2,0,"2,5","9,6875","18,5","3,4","71,625","987,0625","1012,8874999999999","0,0"
1961-10-29,"5,75",8,0,"2,125","8,524999999999999","15,3","2,9","90,5","986,95","1012,8625","1,0"
1961-10-3,"0,25",2,0,"6,125","12,0875","18,0","7,1","74,75","1000,3","1026,1875","0,0"
1961-10-30,"7,875",8,7,"2,0","9,6625","11,1","8,7","88,125","991,125","1016,9499999999999","0,0"
1961-10-31,"5,25",8,0,"3,0","9,5875","12,6","7,7","84,625","994,1749999999998","1020,1","5,6"
1961-10-4,"0,125",1,0,"5,625","13,0375","19,3","7,3","65,625","999,3499999999999","1025,15","0,0"
1961-10-5,"1,125",4,0,"2,75","12,4375","19,8","5,6","67,0","998,9625","1024,8","0,0"
1961-10-6,"0,375",2,0,"4,0","12,0125","20,6","4,6","66,625","996,9","1022,675","0,0"
1961-10-7,"3,0",7,0,"5,625","13,0375","18,8","6,5","58,125","988,4500000000002","1014,0","0,0"
1961-10-8,"3,125",7,0,"3,75","13,037500000000001","20,7","7,4","60,375","985,775","1011,2625","0,0"
1961-10-9,"4,5",8,0,"2,625","10,8625","16,2","7,2","80,375","998,525","1024,4499999999998","0,0"
1961-11-1,"7,25",8,6,"6,0","10,3125","12,8","8,1","69,125","997,625","1023,7249999999999","0,0"
1961-11-10,"7,5",8,7,"2,375","8,55","14,4","3,1","86,0","980,2625","1005,925","2,7"
1961-11-11,"7,875",9,7,"2,125","8,3875","10,2","7,4","95,0","980,9499999999999","1006,6125000000001","5,8999999999999995"
1961-11-12,"8,0",9,7,"2,75","8,024999999999999","8,9","7,1","96,0","983,8250000000002","1009,55","7,3"
1961-11-13,"8,0",8,8,"6,75","8,5625","10,0","7,0","93,875","982,6500000000001","1008,3500000000001","2,1"
1961-11-14,"8,0",8,8,"4,75","5,487499999999999","9,2","1,3","90,625","984,375","1010,4124999999999","15,1"
1961-11-15,"7,875",8,7,"3,375","0,9874999999999999","1,6","0,5","89,125","992,9499999999999","1019,5375","0,2"
1961-11-16,"8,0",8,8,"2,375","1,5499999999999998","2,7","0,9","86,5","993,0375","1019,5749999999999","0,0"
1961-11-17,"8,0",8,8,"6,0","3,6500000000000004","4,9","2,2","89,0","987,9375000000001","1014,275","0,1"
1961-11-18,"7,625",8,7,"5,875","4,0625","4,9","2,9","83,625","986,3375","1012,6250000000001","0,7"
1961-11-19,"6,125",8,3,"5,625","1,7999999999999998","3,0","1,0","84,25","992,4000000000001","1018,975","0,1"
1961-11-2,"3,125",8,0,"2,25","8,387500000000001","13,1","3,2","82,5","997,7","1023,8375","1,4"
1961-11-20,"4,125",8,0,"4,625","-0,15","1,7","-2,0","79,5","1005,9625","1033,15","0,1"
1961-11-21,"2,875",7,0,"2,125","-1,9625","0,9","-5,0","83,0","1007,7999999999998","1035,225","0,0"
1961-11-22,"2,375",4,1,"2,25","-0,9624999999999998","5,2","-3,8","79,375","999,35","1026,4125","0,0"
1961-11-23,"0,75",3,0,"1,5","-2,2375000000000003","2,8","-5,7","86,125","991,9625","1018,9250000000001","0,0"
1961-11-24,"2,75",7,0,"1,0","-0,9625000000000002","5,0","-5,8","87,0","992,5","1019,3125","0,0"
1961-11-25,"7,625",8,7,"0,875","1,6875","3,4","0,0","91,625","991,525","1018,0625","1,8"
1961-11-26,"6,125",9,0,"1,25","0,7749999999999999","2,9","-1,0","97,5","986,1125","1012,6500000000001","0,0"
1961-11-27,"6,875",9,2,"2,25","4,1875","7,2","-0,8","93,125","977,8875","1003,9625","0,0"
1961-11-28,"7,0",8,4,"2,375","5,487500000000001","8,3","2,1","90,625","984,6625","1010,7","0,2"
1961-11-29,"5,5",8,0,"1,5","3,2500000000000004","5,9","0,3","91,625","990,8000000000001","1017,1999999999999","0,3"
1961-11-3,"4,5",7,0,"2,875","8,475","15,9","1,5","67,875","986,6500000000001","1012,5625000000002","0,0"
1961-11-30,"2,75",7,0,"3,875","2,3375","6,1","-3,0","81,75","986,6875","1013,1499999999999","0,0"
1961-11-4,"7,125",8,3,"3,25","4,925000000000001","6,7","2,6","88,625","984,5625","1010,6249999999999","9,7"
1961-11-5,"8,0",8,8,"2,625","1,325","1,7","0,8","94,375","985,5375000000001","1012,0250000000001","17,0"
1961-11-6,"8,5",9,8,"1,125","2,9375000000000004","5,3","1,6","96,125","986,575","1012,925","1,7"
1961-11-7,"5,0",9,0,"3,375","8,7125","13,9","5,3","91,375","981,5375","1007,2","0,3"
1961-11-8,"7,875",8,7,"3,75","5,887499999999999","7,1","4,3","89,75","983,9499999999999","1009,925","11,899999999999999"
1961-11-9,"4,625",9,0,"1,5","4,425","10,5","0,0","87,0","983,3999999999999","1009,5","0,0"
1961-12-1,"6,875",8,3,"6,5","8,5","11,0","5,3","72,0","978,0999999999999","1003,7624999999999","1,3"
1961-12-10,"6,125",7,0,"0,75","-5,9750000000000005","-1,6","-12,4","88,75","989,9499999999999","1017,3","0,0"
1961-12-11,"7,125",8,3,"1,875","-0,32499999999999984","4,3","-6,3","93,25","979,4","1005,875","10,2"
1961-12-12,"8,0",8,8,"4,875","4,225","6,4","0,9","93,625","979,575","1005,6374999999999","8,9"
1961-12-13,"7,375",8,5,"4,25","-2,6875","0,7","-7,2","85,0","995,8500000000001","1023,0125","4,4"
1961-12-14,"0,875",2,0,"3,375","-8,9375","-7,1","-10,0","71,75","1001,7125000000001","1029,6999999999998","0,0"
1961-12-15,"7,125",8,4,"6,125","-7,9875","-5,0","-14,1","79,375","996,6125","1024,3875","3,4"
1961-12-16,"7,125",8,6,"5,0","-14,687499999999998","-13,6","-15,6","77,25","1007,375","1036,1625","0,8"
1961-12-17,"6,0",8,2,"1,75","-13,987499999999999","-10,8","-17,6","78,5","1014,95","1043,9375","0,8"
1961-12-18,"7,375",8,5,"4,375","-7,15","-4,5","-10,4","82,375","1011,5875","1039,575","1,2"
1961-12-19,"8,0",8,8,"5,375","-6,374999999999999","-2,9","-8,6","84,125","1006,9875000000001","1034,8749999999998","0,1"
1961-12-2,"6,75",8,5,"8,0","12,125","16,3","9,7","61,875","975,45","1000,6875","0,0"
1961-12-20,"8,0",8,8,"6,25","-1,4749999999999999","0,9","-3,0","89,75","995,8125","1022,8124999999999","0,8"
1961-12-21,"5,5",8,0,"5,5","-1,125","1,7","-4,9","83,125","987,5750000000002","1014,3999999999999","1,0"
1961-12-22,"5,5",8,0,"5,125","-5,0","-2,0","-7,2","84,0","984,6","1011,7125000000001","1,8"
1961-12-23,"4,875",8,0,"3,25","-9,425","-7,2","-13,2","79,75","988,7624999999998","1016,4375","0,0"
1961-12-24,"6,625",8,2,"2,0","-13,0125","-10,6","-15,6","84,0","992,0000000000001","1020,1375","0,8999999999999999"
1961-12-25,"2,625",8,0,"2,25","-20,95","-16,8","-27,6","90,75","987,6125","1016,6624999999999","0,6"
1961-12-26,"2,5",8,0,"0,375","-21,5","-14,0","-29,0","75,75","983,9999999999999","1012,9","0,0"
1961-12-27,"7,625",8,6,"2,375","-9,537499999999998","-5,8","-14,6","80,875","985,1875","1012,8249999999999","0,0"
1961-12-28,"7,875",9,7,"3,75","-8,7875","-6,8","-10,2","85,25","984,525","1011,9875","0,2"
1961-12-29,"3,5",9,0,"0,25","-8,975","-5,2","-11,8","94,125","985,35","1012,9375000000001","0,0"
1961-12-3,"4,625",8,0,"1,25","3,3874999999999997","6,9","0,3","80,75","985,4374999999999","1011,7625","0,2"
1961-12-30,"4,625",9,0,"0,5","-5,3375","-1,1","-9,0","92,5","983,8875","1010,9","0,0"
1961-12-31,"8,75",9,7,"1,0","-3,4875000000000003","0,0","-6,1","95,875","983,1625","1010,05","0,0"
1961-12-4,"6,375",8,0,"2,0","6,3500000000000005","13,4","-0,3","82,375","984,2125","1010,175","0,0"
1961-12-5,"5,875",8,3,"2,75","12,924999999999999","16,9","6,7","67,875","986,3875","1011,875","0,1"
1961-12-6,"7,5",8,5,"3,0","4,675","9,1","-0,2","91,75","986,6625","1012,825","15,2"
1961-12-7,"8,0",8,8,"3,75","-0,12499999999999999","0,0","-0,4","96,25","988,1125000000001","1014,8124999999999","19,799999999999997"
1961-12-8,"6,375",8,2,"3,625","-1,2","0,0","-4,0","91,625","993,5125","1020,3375","0,2"
1961-12-9,"1,875",7,0,"1,625","-7,6125","-1,7","-12,4","89,375","994,4625","1022,1","0,0"
1961-2-1,"7,5",8,7,"3,375","2,875","4,1","0,5","86,125","976,0749999999999","1002,1375","5,5"
1961-2-10,"8,0",8,8,"5,125","2,9625","4,3","1,3","90,75","992,8625","1019,375","4,2"
1961-2-11,"7,125",8,4,"1,875","3,05","6,4","0,7","81,625","993,5375","1020,075","0,0"
1961-2-12,"7,625",8,7,"2,25","3,125","6,7","0,7","89,875","986,0500000000001","1012,3625000000001","2,6"
1961-2-13,"7,875",8,7,"3,625","3,0499999999999994","4,7","1,9","87,625","997,1499999999999","1023,7875","0,7"
1961-2-14,"5,0",8,0,"1,75","1,4375","4,9","-1,8","86,25","1003,225","1030,0874999999999","0,1"
1961-2-15,"2,5",8,0,"0,75","2,225","8,0","-2,6","85,25","1004,55","1031,4375","0,0"
1961-2-16,"6,5",9,0,"2,75","2,9499999999999997","5,0","-1,1","93,625","1006,8625","1033,725","0,3"
1961-2-17,"8,0",8,8,"3,5","4,2875","5,1","3,5","92,375","1010,9874999999998","1037,85","0,1"
1961-2-18,"2,25",9,0,"1,125","3,8375000000000004","13,3","-1,4","83,625","1007,7499999999999","1034,6625","0,0"
1961-2-19,"6,0",8,0,"2,5","1,5875000000000001","3,6","-1,0","93,625","1005,0125","1032,025","0,0"
1961-2-2,"5,375",8,1,"2,375","2,0","5,1","-0,6","81,25","972,4125000000001","998,4875","0,6"
1961-2-20,"8,0",8,8,"1,625","2,8124999999999996","4,3","0,9","94,125","1007,6875000000001","1034,625","6,3"
1961-2-21,"6,625",8,2,"1,25","3,925","6,5","1,9","84,75","1009,8375","1036,7749999999999","0,0"
1961-2-22,"4,875",8,2,"2,25","2,8249999999999997","6,6","-1,4","84,0","1009,35","1036,35","0,0"
1961-2-23,"6,875",8,0,"3,125","2,4875","3,7","1,3","83,375","1006,2625","1033,275","0,0"
1961-2-24,"8,0",8,8,"1,5","1,4","2,1","0,8","88,625","1005,375","1032,475","0,0"
1961-2-25,"5,875",8,0,"3,25","-0,25","0,7","-1,9","88,5","1007,1875000000001","1034,4624999999999","0,0"
