date; pm25; pm10; o3; no2; so2; co
01.05.2021;96;16;35;6; ;5
02.05.2021;56;13;39;11; ;4
03.05.2021;40;20;43;25; ;6
04.05.2021;57;13;38;27; ;4
05.05.2021;41;12;31;21;1;4
06.05.2021;31;10;30;18; ;4
07.05.2021;31;17;36;18; ;3
08.05.2021;43;19;42;23; ;5
09.05.2021;47;21;40;33; ;6
10.05.2021;41;28;52;26;1;4
11.05.2021;52;30;50;26;1;4
12.05.2021;55;26;31;24;1;4
13.05.2021;63;19;21;16; ;4
14.05.2021;65;11;39;18; ;4
15.05.2021;47;10;28;16; ;3
16.05.2021;36; ; ; ; ; 
01.04.2021;91;23;30;18;2;5
02.04.2021;73;24;28;13;3;5
03.04.2021;78;15;32;10;2;4
04.04.2021;53;22;38;9;2;5
05.04.2021;52;18;32;16;2;5
06.04.2021;58;21;27;17;3;6
07.04.2021;72;17;26;18;2;5
08.04.2021;61;28;36;28;2;7
09.04.2021;66;30;45;28;2;8
10.04.2021;74;22;40;21;1;7
11.04.2021;65;28;33;22;2;7
12.04.2021;75;13;30;20;1;6
13.04.2021;50;14;29;19;1;6
14.04.2021;57;13;24;17;2;6
15.04.2021;55;16;19;17;2;6
16.04.2021;66;26;20;17;3;7
17.04.2021;83;33;28;21;3;7
18.04.2021;91;41;16;27;2;9
19.04.2021;119;29;36;27;2;7
20.04.2021;86;38;38;25;3;7
21.04.2021;102;28;27;23;2;6
22.04.2021;76;24;28;21;2;5
23.04.2021;65;29;37;19;2;5
24.04.2021;70;20;36;15;1;5
25.04.2021;55;28;33;21;2;6
26.04.2021;64;27;41;23;1;5
27.04.2021;68;32;48;29;1;6
28.04.2021;75;33;35;30;1;8
29.04.2021;77;22;44;28;1;7
30.04.2021;65;27;27;16; ;6
01.03.2021;84;51;19;27;4;8
02.03.2021;131;56;22;32;4;11
03.03.2021;130;52;18;21;5;7
04.03.2021;137;22;21;23;1;5
05.03.2021;75;36;24;20;4;5
06.03.2021;103;29;32;16;3;5
07.03.2021;86;34;24;26;4;6
08.03.2021;92;44;28;27;4;7
09.03.2021;118;43;34;31;3;7
10.03.2021;114;40;29;32;2;8
11.03.2021;113;18;26;22;2;6
12.03.2021;60;20;32;19;2;7
13.03.2021;58;11;33;11;2;4
14.03.2021;38;38;24;25;4;7
15.03.2021;93;60;19;25;4;10
16.03.2021;120;19;27;18;2;5
17.03.2021;78;20;28;20;2;5
18.03.2021;66;40;24;26;4;7
19.03.2021;116;18;23;14;3;5
20.03.2021;63;26;27;11;3;5
21.03.2021;86;18;33;21;2;5
22.03.2021;58;36;24;18;5;5
23.03.2021;100;38;23;22;5;6
24.03.2021;99;57;30;28;5;9
25.03.2021;137;69;38;33;4;10
26.03.2021;149;40;41;20;2;8
27.03.2021;99;23;33;15;2;5
28.03.2021;61;40;28;25;2;7
29.03.2021;100;42;13;26;3;9
30.03.2021;108;49;33;28;3;10
31.03.2021;113;41;48;24;2;8
01.02.2021;139;68;4;33;4;13
02.02.2021;156;43;13;34;3;15
03.02.2021;111;16;22;14;2;6
04.02.2021;51;29;19;20;3;6
05.02.2021;93;21;25;15;2;4
06.02.2021;76;23;22;8;2;3
07.02.2021;78;30;18;20;4;5
08.02.2021;94;69;9;28;10;9
09.02.2021;162;67;16;25;6;9
10.02.2021;158;37;23;19;6;5
11.02.2021;105;30;21;22;7;5
12.02.2021;87;48;20;21;10;6
13.02.2021;130;29;28;12;5;4
